GNCODE,Population
MN 48,1127
MN 49,602
MN 50,50
MN 51,3035
MN 52,778
MN 53,461
MN 54,1389
MN 55,1260
MN 56,2898
MN 57,1507
MN 58,2061
MN 59,1534
MN 60,730
MN 61,2889
MN 62,2024
MN 63,2906
MN 64,1411
MN 65,4343
MN 66,1951
MN 67,2109
MN 68,2241
MN 69,1830
MN 70,2241
MN 71,1259
MN 72,3527
MN 73,1789
MN 74,3125
MN 75,1461
MN 76,1350
MN 77,433
MN 78,1055
MN 79,453
MN 80,487
MN 81,2174
MN 82,1504
MN 83,1924
MN 84,1667
MN 85,1303
MN 86,864
MN 87,131
MN 88,338
MN 89,232
MN 90,447
MN 91,1010
MN 92,518
MN 93,439
MN 94,133
